cohort,data_type,field_name,description,category,units,loinc_code,loinc_name,confidence_score,query_source,llm_reasoning,num_queries,top_5_loinc
arivale,questionnaires,assessment:vitals:blood_sugar:enum,Raw - Assessment:Vitals:Blood Sugar:Enum,raw,,2340-8,Glucose [Mass/volume] in Blood by Automated test strip,0.85,exact_description,"Perfect semantic match for blood glucose measurement. 2340-8 represents glucose measurement in blood by automated test strip, which aligns well with a vitals assessment for blood sugar. More appropriate than manual test strip for routine vitals.",5,"['785-6', '2341-6', '47278-7', '2340-8', '71694-4']"
arivale,questionnaires,assessment:vitals:height:height,Raw - Assessment:Vitals:Height:Height,raw,,8308-9,Body height --standing,0.85,clinical_standard,Body height --standing is the most appropriate code for a height measurement in a vital signs assessment context. This is the standard clinical method for measuring height and has high semantic similarity (0.782 score). It's more specific than the general 'Body height' code while being more commonly used than assessment-specific variants.,5,"['103692-0', '8308-9', '3138-5', '8303-0', '3137-7']"
arivale,questionnaires,assessment:health-history:eye_ear_nose_throat_allergies_other:grandparent,Health History New - Assessment:Health-History:Eye Ear Nose Throat Allergies Other:Grandparent,health_history_new,,8658-7,History of Allergies,0.85,exact_description,"This field captures family history (grandparent) of eye/ear/nose/throat allergies. LOINC 8658-7 'History of Allergies' is the most appropriate match as it specifically addresses allergy history, which aligns with the field's focus on allergic conditions. While it doesn't explicitly capture the family relationship aspect, it's the closest semantic match for documenting allergy history information.",5,"['8658-7', '10155-0', '74065-4', '11348-0', '11352-2']"
arivale,questionnaires,assessment:health-history:allergy:self_past,Health History Old - Assessment:Health-History:Allergy:Self Past,health_history_old,,8658-7,History of Allergies,0.9,exact_description,"LOINC 8658-7 'History of Allergies' is the most appropriate match for this field. The field name 'assessment:health-history:allergy:self_past' clearly indicates it's capturing a patient's past allergy history, which directly aligns with this LOINC code. The system designation '^Patient' confirms it's patient-reported history, and the high semantic similarity score (0.795) supports this selection. This is a standard, well-established LOINC code for allergy history documentation.",5,"['8658-7', '10155-0', '74065-4', '11349-8', '11352-2']"
arivale,questionnaires,assessment:health-history:allergy:self_past_year,Health History Old - Assessment:Health-History:Allergy:Self Past Year,health_history_old,,8658-7,History of Allergies,0.95,exact_description,"The field 'assessment:health-history:allergy:self_past_year' is asking about the patient's allergy history in the past year. LOINC 8658-7 'History of Allergies' with system '^Patient' is the most direct and appropriate match, as it captures general allergy history from the patient's perspective. While 10155-0 'History of allergies, reported' is also very close, 8658-7 is more standard and widely used for allergy history documentation.",5,"['8658-7', '10155-0', '106163-9', '74065-4', '11359-7']"
arivale,questionnaires,assessment:health-history:hh:-heart-arrhythmias:self_past,Health History Old - Assessment:Health-History:Hh:-Heart-Arrhythmias:Self Past,health_history_old,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"8660-3 'History of Cardiovascular system disorders' is the most specific match for heart arrhythmias self-reported past history, as arrhythmias are cardiovascular disorders and this code specifically targets cardiovascular system history rather than general past illness codes.",5,"['11348-0', '11349-8', '54140-9', '54126-8', '11322-5']"
arivale,questionnaires,assessment:health-history:hh:-heart-arrhythmias:self_past_year,Health History Old - Assessment:Health-History:Hh:-Heart-Arrhythmias:Self Past Year,health_history_old,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it specifically covers cardiovascular history, which directly encompasses heart arrhythmias. The system 'Cardiovascular system' aligns perfectly with the cardiac nature of arrhythmias.",5,"['11348-0', '11349-8', '54140-9', '54126-8', '11322-5']"
arivale,questionnaires,jiahui:health-history:hh:heart:aortic_disease:self,Misc - Jiahui:Health-History:Hh:Heart:Aortic Disease:Self,misc,,8660-3,History of Cardiovascular system disorders,0.8,exact_description,"The field 'aortic_disease:self' refers to self-reported history of aortic disease, which is a cardiovascular system disorder. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it covers personal history of cardiovascular conditions including aortic disease, without being overly specific to coronary artery disease or requiring narrative format.",5,"['10168-3', '80985-5', '8660-3', '10170-9', '65852-6']"
arivale,questionnaires,jiahui:health-history:hh:heart:coronary_artery_disease:self,Misc - Jiahui:Health-History:Hh:Heart:Coronary Artery Disease:Self,misc,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"The field asks about self-reported coronary artery disease history. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it captures patient's own cardiovascular history (system: Cardiovascular system) rather than family history (80985-5) or risk calculations (65852-6, 65851-8, etc.). While not specific to coronary artery disease, it's the best available general cardiovascular history code.",5,"['80985-5', '65852-6', '65851-8', '65857-5', '10168-3']"
arivale,questionnaires,jiahui:health-history:hh:heart:heart_value_disease:self,Misc - Jiahui:Health-History:Hh:Heart:Heart Value Disease:Self,misc,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"The field 'heart_value_disease:self' appears to be collecting patient's self-reported history of heart valve disease. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it captures self-reported cardiovascular history with the correct system (Cardiovascular system) and patient context. While not valve-specific, it's the best general category for cardiovascular history collection in questionnaires.",5,"['65851-8', '65852-6', '10168-3', '80985-5', '67804-5']"
arivale,questionnaires,jiahui:health-history:hh:heart:pericardial_disease:self,Misc - Jiahui:Health-History:Hh:Heart:Pericardial Disease:Self,misc,,8660-3,History of Cardiovascular system disorders,0.7,exact_description,"Pericardial disease is a cardiovascular system disorder, and this LOINC code covers history of cardiovascular disorders. While not specific to pericardial disease, it's the most appropriate general cardiovascular history code available among the options.",5,"['65852-6', '80985-5', '65851-8', '10168-3', '8660-3']"
arivale,questionnaires,jiahui:health-history:hh:heart:vascular_disease:self,Misc - Jiahui:Health-History:Hh:Heart:Vascular Disease:Self,misc,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"The field 'vascular_disease:self' clearly indicates a self-reported history of vascular/cardiovascular disease. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it directly captures cardiovascular disease history without being narrative-specific (like 10168-3) or family-focused (like 80985-5). The 'self' component indicates patient-reported history, which aligns with this code's system targeting the cardiovascular system.",5,"['10168-3', '80985-5', '8660-3', '65852-6', '10170-9']"
arivale,questionnaires,jiahui:health-history:hh:heart:arrhythmia:self,Raw - Jiahui:Health-History:Hh:Heart:Arrhythmia:Self,raw,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"The field 'jiahui:health-history:hh:heart:arrhythmia:self' specifically asks about personal history of heart arrhythmia. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as arrhythmia is a cardiovascular disorder and this code captures cardiovascular history. While 10168-3 is similar but narrative-focused, 8660-3 is more suitable for structured data collection about cardiovascular history including arrhythmias.",4,"['10168-3', '86473-6', '8660-3', '10170-9', '54140-9']"
arivale,questionnaires,jiahui:health-history:hh:heart:cardiomyopathy:self,Raw - Jiahui:Health-History:Hh:Heart:Cardiomyopathy:Self,raw,,8660-3,History of Cardiovascular system disorders,0.8,exact_description,"This field captures self-reported history of cardiomyopathy, which is a cardiovascular system disorder. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match for capturing this type of medical history data in a structured format.",4,"['86473-6', '10168-3', '8660-3', '86475-1', '10170-9']"
arivale,questionnaires,jiahui:health-history:hh:heart:heart_attack:self,Raw - Jiahui:Health-History:Hh:Heart:Heart Attack:Self,raw,,8660-3,History of Cardiovascular system disorders,0.75,exact_description,"Best match for self-reported heart attack history. While not heart attack-specific, it appropriately captures cardiovascular disorder history in structured format for the patient's own medical history.",5,"['10168-3', '86473-6', '67804-5', '8660-3', '54140-9']"
arivale,questionnaires,jiahui:health-history:hh:heart:heart_value_disease:self,Raw - Jiahui:Health-History:Hh:Heart:Heart Value Disease:Self,raw,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"This field captures personal history of heart valve disease, which is a cardiovascular condition. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it specifically covers cardiovascular history without being too narrow (like coronary-specific codes) or too broad (like general health history). The 'self' component indicates personal rather than family history, making this cardiovascular-specific code ideal.",5,"['10168-3', '67804-5', '65851-8', '65852-6', '54116-9']"
arivale,questionnaires,jiahui:health-history:hh:heart:vascular_disease:self,Raw - Jiahui:Health-History:Hh:Heart:Vascular Disease:Self,raw,,8660-3,History of Cardiovascular system disorders,0.85,exact_description,"This field captures patient's self-reported history of cardiovascular/vascular disease. LOINC 8660-3 'History of Cardiovascular system disorders' is the most appropriate match as it specifically addresses personal cardiovascular history in a structured format suitable for questionnaire data, rather than the narrative version (10168-3).",5,"['10168-3', '8660-3', '54140-9', '54116-9', '56837-8']"
